ID,Education,Marital_Status,Age,Age_Group,Income,Income_Group,Response,Total_Spent,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds
5524,Graduation,Single,68,61-80,58138.0,Mid,1,1617,635,88,546,172,88,88
2174,Graduation,Single,71,61-80,46344.0,Mid,0,27,11,1,6,2,1,6
4141,Graduation,Together,60,46-60,71613.0,High,0,776,426,49,127,111,21,42
6182,Graduation,Together,41,31-45,26646.0,Low,0,53,11,4,20,10,3,5
5324,PhD,Married,44,31-45,58293.0,Mid,0,422,173,43,118,46,27,15
7446,Master,Together,58,46-60,62513.0,High,0,716,520,42,98,0,42,14
965,Graduation,Divorced,54,46-60,55635.0,Mid,0,590,235,65,164,50,49,27
6177,PhD,Married,40,31-45,33454.0,Mid,0,169,76,10,56,3,1,23
4855,PhD,Together,51,46-60,30351.0,Mid,1,46,14,0,24,3,3,2
5899,PhD,Together,75,61-80,5648.0,Low,0,49,28,0,6,1,1,13
1994,Graduation,Married,42,31-45,51381.5,Mid,0,19,5,5,6,0,2,1
387,Basic,Married,49,46-60,7500.0,Low,0,61,6,16,11,11,1,16
2125,Graduation,Divorced,66,61-80,63033.0,High,0,1102,194,61,480,225,112,30
8180,Master,Divorced,73,61-80,59354.0,Mid,0,310,233,2,53,3,5,14
2569,Graduation,Married,38,31-45,17323.0,Low,0,46,3,14,17,6,1,5
2114,PhD,Single,79,61-80,82800.0,High,1,1315,1006,22,115,59,68,45
9736,Graduation,Married,45,31-45,41850.0,Mid,0,96,53,5,19,2,13,4
4939,Graduation,Together,79,61-80,37760.0,Mid,0,317,84,5,38,150,12,28
6565,Master,Married,76,61-80,76995.0,High,0,1782,1012,80,498,0,16,176
2278,2n Cycle,Single,40,31-45,33812.0,Mid,0,133,4,17,19,30,24,39
9360,Graduation,Married,43,31-45,37040.0,Mid,0,316,86,2,73,69,38,48
5376,Graduation,Married,46,46-60,2447.0,Low,0,1730,1,1,1725,1,1,1
1993,PhD,Married,76,61-80,58607.0,Mid,0,972,867,0,86,0,0,19
4047,PhD,Married,71,61-80,65324.0,High,0,544,384,0,102,21,32,5
1409,Graduation,Together,74,61-80,40689.0,Mid,0,444,270,3,27,39,6,99
7892,Graduation,Single,56,46-60,18589.0,Low,0,75,6,4,25,15,12,13
2404,Graduation,Married,49,46-60,53359.0,Mid,0,257,173,4,30,3,6,41
5255,Graduation,Single,39,31-45,51381.5,Mid,0,637,5,1,3,3,263,362
9422,Graduation,Married,36,31-45,38360.0,Mid,0,131,36,2,42,20,21,10
1966,PhD,Married,60,46-60,84618.0,High,0,1672,684,100,801,21,66,0
6864,Master,Divorced,36,31-45,10979.0,Low,0,30,8,4,10,2,2,4
3033,Master,Together,62,61-80,38620.0,Mid,0,318,112,17,44,34,22,89
5710,Graduation,Together,55,46-60,40548.0,Mid,0,120,110,0,5,2,0,3
7373,PhD,Divorced,73,61-80,46610.0,Mid,1,302,96,12,96,33,22,43
8755,Master,Married,79,61-80,68657.0,High,0,1196,482,34,471,119,68,22
10738,Master,Single,74,61-80,49389.0,Mid,0,65,40,0,19,2,1,3
4339,PhD,Married,55,46-60,67353.0,High,0,913,702,17,151,0,8,35
10755,2n Cycle,Married,49,46-60,23718.0,Low,0,81,6,3,14,15,7,36
8595,Graduation,Widow,52,46-60,42429.0,Mid,0,67,55,0,6,2,0,4
2968,PhD,Divorced,82,,48948.0,Mid,1,902,437,8,206,160,49,42
8601,Graduation,Married,45,31-45,80011.0,High,0,1395,421,76,536,82,178,102
503,Master,Married,40,31-45,20559.0,Low,0,53,13,1,29,3,0,7
8430,Graduation,Together,68,61-80,21994.0,Low,0,22,9,0,6,3,1,3
7281,PhD,Single,66,61-80,51381.5,Mid,0,186,81,11,50,3,2,39
2139,Master,Married,50,46-60,7500.0,Low,0,31,3,1,10,3,2,12
1371,Graduation,Single,49,46-60,79941.0,High,0,984,123,164,266,227,30,174
9909,2n Cycle,Married,29,18-30,7500.0,Low,1,122,3,18,14,15,22,50
7286,Graduation,Together,57,46-60,41728.0,Mid,0,55,13,6,15,3,5,13
7244,Graduation,Single,74,61-80,51381.5,Mid,0,124,48,5,48,6,10,7
6566,PhD,Married,71,61-80,72550.0,High,0,1319,826,50,317,50,38,38
8614,Graduation,Widow,68,61-80,65486.0,High,0,507,245,19,125,37,67,14
4114,Master,Married,61,61-80,79143.0,High,0,1693,650,37,780,27,167,32
1331,Graduation,Single,48,46-60,35790.0,Mid,0,72,12,6,20,30,1,3
2225,Graduation,Divorced,48,46-60,82582.0,High,1,1617,510,120,550,156,40,241
9381,Graduation,Married,47,46-60,66373.0,High,0,606,328,9,124,12,24,109
6260,Master,Together,70,61-80,82384.0,High,1,1957,984,51,432,180,120,190
10383,Graduation,Divorced,59,46-60,70287.0,High,1,1093,295,35,482,121,120,40
7437,Graduation,Single,37,31-45,27938.0,Low,0,29,13,0,8,2,1,5
8557,Graduation,Single,43,31-45,51381.5,Mid,0,46,11,3,22,2,2,6
8375,PhD,Married,57,46-60,55954.0,Mid,0,518,447,0,28,0,0,43
6853,Master,Single,43,31-45,75777.0,High,1,1438,712,26,538,69,13,80
3076,Graduation,Together,50,46-60,66653.0,High,0,612,452,18,102,16,18,6
1012,Graduation,Single,73,61-80,61823.0,High,0,884,523,7,134,37,14,169
6518,PhD,Widow,74,61-80,67680.0,High,0,606,546,0,48,0,6,6
4137,Graduation,Together,77,61-80,70666.0,High,0,1076,398,40,367,119,122,30
8082,Graduation,Married,54,46-60,25721.0,Low,1,34,1,3,6,3,6,15
1386,Graduation,Together,58,46-60,32474.0,Mid,0,11,10,0,1,0,0,0
9369,2n Cycle,Single,46,46-60,88194.0,High,1,1274,688,14,309,201,24,38
4477,Graduation,Together,67,61-80,69096.0,High,0,653,247,49,159,7,82,109
1357,Graduation,Together,55,46-60,74854.0,High,0,1562,856,59,487,58,29,73
1402,Master,Married,71,61-80,66991.0,High,0,1253,496,36,460,189,60,12
